subtype,question,structured,correct_answer
syllogism,Statement 1: All vehicles are mammals. Statement 2: All mammals are flowers. Conclusion: All vehicles are flowers. Is the conclusion valid?,All vehicles are mammals|All mammals are flowers|All vehicles are flowers,valid
blood_relation,Riya is Vikram's mother. Vikram is Rohit's mother. How is Riya related to Rohit?,Riya|mother|Vikram;Vikram|mother|Rohit,grandmother
direction_sense,"Sneha walks 5km west, then 6km west, then 2km west. How far is Sneha from the starting point?",5km west;6km west;2km west,13.0
coding_decoding,"If CAT is coded as GEX, how is KEY coded?",CAT->GEX;KEY->?,OIC
syllogism,Statement 1: Some birds are vehicles. Statement 2: All vehicles are pets. Conclusion: Some birds are pets. Is the conclusion valid?,Some birds are vehicles|All vehicles are pets|Some birds are pets,valid
blood_relation,Sneha is Arjun's mother. Arjun is Amit's father. How is Sneha related to Amit?,Sneha|mother|Arjun;Arjun|father|Amit,grandmother
direction_sense,"Karan walks 7km north, then 9km north. How far is Karan from the starting point?",7km north;9km north,16.0
coding_decoding,"If FAN is coded as IDQ, how is TOP coded?",FAN->IDQ;TOP->?,WRS
syllogism,Statement 1: No vehicles are birds. Statement 2: Some birds are animals. Conclusion: Some animals are not vehicles. Is the conclusion valid?,No vehicles are birds|Some birds are animals|Some animals are not vehicles,valid
blood_relation,Rohit is Priya's son. Priya is Anjali's daughter. How is Rohit related to Anjali?,Rohit|son|Priya;Priya|daughter|Anjali,grandson
direction_sense,"Anjali walks 10km west, then 6km north. How far is Anjali from the starting point?",10km west;6km north,11.66
coding_decoding,"If CUP is coded as DVQ, how is KEY coded?",CUP->DVQ;KEY->?,LFZ
syllogism,Statement 1: Some dogs are foods. Statement 2: Some foods are fruits. Conclusion: Some dogs are fruits. Is the conclusion valid?,Some dogs are foods|Some foods are fruits|Some dogs are fruits,invalid
blood_relation,Arjun is Vikram's son. Vikram is Pooja's son. How is Arjun related to Pooja?,Arjun|son|Vikram;Vikram|son|Pooja,grandson
direction_sense,"Suresh walks 2km west, then 3km north, then 5km north. How far is Suresh from the starting point?",2km west;3km north;5km north,8.25
coding_decoding,"If PEN is coded as QFO, how is TOP coded?",PEN->QFO;TOP->?,UPQ
syllogism,Statement 1: All plants are mammals. Statement 2: No mammals are cars. Conclusion: No plants are cars. Is the conclusion valid?,All plants are mammals|No mammals are cars|No plants are cars,valid
blood_relation,Suresh is Vikram's father. Vikram is Manoj's mother. How is Suresh related to Manoj?,Suresh|father|Vikram;Vikram|mother|Manoj,grandfather
direction_sense,"Anjali walks 5km south, then 2km east. How far is Anjali from the starting point?",5km south;2km east,5.39
coding_decoding,"If MAP is coded as QET, how is BAT coded?",MAP->QET;BAT->?,FEX
syllogism,Statement 1: Some foods are animals. Statement 2: Some animals are cats. Conclusion: Some foods are cats. Is the conclusion valid?,Some foods are animals|Some animals are cats|Some foods are cats,invalid
blood_relation,Pooja is Karan's mother. Karan is Vikram's father. How is Pooja related to Vikram?,Pooja|mother|Karan;Karan|father|Vikram,grandmother
direction_sense,"Meera walks 8km south, then 9km east. How far is Meera from the starting point?",8km south;9km east,12.04
coding_decoding,"If FAN is coded as JER, how is RUN coded?",FAN->JER;RUN->?,VYR
syllogism,Statement 1: Some fruits are dogs. Statement 2: Some dogs are cars. Conclusion: Some fruits are cars. Is the conclusion valid?,Some fruits are dogs|Some dogs are cars|Some fruits are cars,invalid
blood_relation,Riya is Nikhil's mother. Nikhil is Pooja's mother. How is Riya related to Pooja?,Riya|mother|Nikhil;Nikhil|mother|Pooja,grandmother
direction_sense,"Vikram walks 4km south, then 7km north. How far is Vikram from the starting point?",4km south;7km north,3.0
coding_decoding,"If CAT is coded as ECV, how is COW coded?",CAT->ECV;COW->?,EQY
syllogism,Statement 1: Some mammals are flowers. Statement 2: All flowers are dogs. Conclusion: Some mammals are dogs. Is the conclusion valid?,Some mammals are flowers|All flowers are dogs|Some mammals are dogs,valid
blood_relation,Vikram is Priya's father. Priya is Amit's mother. How is Vikram related to Amit?,Vikram|father|Priya;Priya|mother|Amit,grandfather
direction_sense,"Anjali walks 2km south, then 8km west, then 7km west. How far is Anjali from the starting point?",2km south;8km west;7km west,15.13
coding_decoding,"If BAT is coded as CBU, how is COW coded?",BAT->CBU;COW->?,DPX
syllogism,Statement 1: Some fruits are birds. Statement 2: All birds are dogs. Conclusion: Some fruits are dogs. Is the conclusion valid?,Some fruits are birds|All birds are dogs|Some fruits are dogs,valid
blood_relation,Sneha is Amit's father. Amit is Arjun's father. How is Sneha related to Arjun?,Sneha|father|Amit;Amit|father|Arjun,grandfather
direction_sense,"Divya walks 6km east, then 3km west. How far is Divya from the starting point?",6km east;3km west,3.0
coding_decoding,"If MAP is coded as QET, how is BAT coded?",MAP->QET;BAT->?,FEX
syllogism,Statement 1: Some pets are dogs. Statement 2: Some dogs are mammals. Conclusion: Some pets are mammals. Is the conclusion valid?,Some pets are dogs|Some dogs are mammals|Some pets are mammals,invalid
blood_relation,Manoj is Sneha's daughter. Sneha is Arjun's daughter. How is Manoj related to Arjun?,Manoj|daughter|Sneha;Sneha|daughter|Arjun,granddaughter
direction_sense,"Suresh walks 2km west, then 2km west, then 7km north. How far is Suresh from the starting point?",2km west;2km west;7km north,8.06
coding_decoding,"If MAP is coded as OCR, how is BAT coded?",MAP->OCR;BAT->?,DCV
syllogism,Statement 1: Some plants are cats. Statement 2: All cats are flowers. Conclusion: Some plants are flowers. Is the conclusion valid?,Some plants are cats|All cats are flowers|Some plants are flowers,valid
blood_relation,Divya is Rohit's daughter. Rohit is Manoj's son. How is Divya related to Manoj?,Divya|daughter|Rohit;Rohit|son|Manoj,granddaughter
direction_sense,"Kavya walks 10km west, then 6km north, then 2km north. How far is Kavya from the starting point?",10km west;6km north;2km north,12.81
coding_decoding,"If CAT is coded as DBU, how is KEY coded?",CAT->DBU;KEY->?,LFZ
syllogism,Statement 1: All birds are foods. Statement 2: No foods are plants. Conclusion: No birds are plants. Is the conclusion valid?,All birds are foods|No foods are plants|No birds are plants,valid
blood_relation,Arjun is Riya's son. Riya is Sneha's daughter. How is Arjun related to Sneha?,Arjun|son|Riya;Riya|daughter|Sneha,grandson
direction_sense,"Riya walks 8km south, then 6km north, then 7km west. How far is Riya from the starting point?",8km south;6km north;7km west,7.28
coding_decoding,"If MAP is coded as NBQ, how is TOP coded?",MAP->NBQ;TOP->?,UPQ
syllogism,Statement 1: Some fruits are vehicles. Statement 2: All vehicles are flowers. Conclusion: Some fruits are flowers. Is the conclusion valid?,Some fruits are vehicles|All vehicles are flowers|Some fruits are flowers,valid
blood_relation,Sneha is Riya's mother. Riya is Pooja's father. How is Sneha related to Pooja?,Sneha|mother|Riya;Riya|father|Pooja,grandmother
direction_sense,"Priya walks 7km north, then 4km south, then 3km east. How far is Priya from the starting point?",7km north;4km south;3km east,4.24
coding_decoding,"If DOG is coded as HSK, how is JAM coded?",DOG->HSK;JAM->?,NEQ
syllogism,Statement 1: Some flowers are cats. Statement 2: All cats are animals. Conclusion: Some flowers are animals. Is the conclusion valid?,Some flowers are cats|All cats are animals|Some flowers are animals,valid
blood_relation,Riya is Sneha's daughter. Sneha is Divya's daughter. How is Riya related to Divya?,Riya|daughter|Sneha;Sneha|daughter|Divya,granddaughter
direction_sense,"Priya walks 6km east, then 7km south. How far is Priya from the starting point?",6km east;7km south,9.22
coding_decoding,"If BAT is coded as GFY, how is BOX coded?",BAT->GFY;BOX->?,GTC
syllogism,Statement 1: All plants are flowers. Statement 2: No flowers are cars. Conclusion: No plants are cars. Is the conclusion valid?,All plants are flowers|No flowers are cars|No plants are cars,valid
blood_relation,Kavya is Riya's daughter. Riya is Vikram's son. How is Kavya related to Vikram?,Kavya|daughter|Riya;Riya|son|Vikram,granddaughter
direction_sense,"Suresh walks 8km west, then 3km west, then 8km east. How far is Suresh from the starting point?",8km west;3km west;8km east,3.0
coding_decoding,"If BAT is coded as FEX, how is BAT coded?",BAT->FEX;BAT->?,FEX
syllogism,Statement 1: Some foods are cats. Statement 2: All cats are fruits. Conclusion: Some foods are fruits. Is the conclusion valid?,Some foods are cats|All cats are fruits|Some foods are fruits,valid
blood_relation,Karan is Divya's son. Divya is Anjali's daughter. How is Karan related to Anjali?,Karan|son|Divya;Divya|daughter|Anjali,grandson
direction_sense,"Nikhil walks 8km east, then 3km west, then 3km south. How far is Nikhil from the starting point?",8km east;3km west;3km south,5.83
coding_decoding,"If FAN is coded as JER, how is BOX coded?",FAN->JER;BOX->?,FSB
syllogism,Statement 1: Some pets are vehicles. Statement 2: All vehicles are birds. Conclusion: Some pets are birds. Is the conclusion valid?,Some pets are vehicles|All vehicles are birds|Some pets are birds,valid
blood_relation,Pooja is Vikram's father. Vikram is Suresh's mother. How is Pooja related to Suresh?,Pooja|father|Vikram;Vikram|mother|Suresh,grandfather
direction_sense,"Meera walks 9km west, then 10km south, then 10km south. How far is Meera from the starting point?",9km west;10km south;10km south,21.93
coding_decoding,"If DOG is coded as ITL, how is TOP coded?",DOG->ITL;TOP->?,YTU
syllogism,Statement 1: Some foods are vehicles. Statement 2: Some vehicles are plants. Conclusion: Some foods are plants. Is the conclusion valid?,Some foods are vehicles|Some vehicles are plants|Some foods are plants,invalid
blood_relation,Divya is Pooja's son. Pooja is Priya's daughter. How is Divya related to Priya?,Divya|son|Pooja;Pooja|daughter|Priya,grandson
direction_sense,"Kavya walks 8km north, then 10km east, then 2km north. How far is Kavya from the starting point?",8km north;10km east;2km north,14.14
coding_decoding,"If CAT is coded as ECV, how is KEY coded?",CAT->ECV;KEY->?,MGA
syllogism,Statement 1: Some birds are cars. Statement 2: All cars are flowers. Conclusion: Some birds are flowers. Is the conclusion valid?,Some birds are cars|All cars are flowers|Some birds are flowers,valid
blood_relation,Karan is Amit's son. Amit is Rohit's son. How is Karan related to Rohit?,Karan|son|Amit;Amit|son|Rohit,grandson
direction_sense,"Priya walks 6km south, then 7km north, then 9km south. How far is Priya from the starting point?",6km south;7km north;9km south,8.0
coding_decoding,"If SUN is coded as UWP, how is BAT coded?",SUN->UWP;BAT->?,DCV
syllogism,Statement 1: Some flowers are vehicles. Statement 2: All vehicles are plants. Conclusion: Some flowers are plants. Is the conclusion valid?,Some flowers are vehicles|All vehicles are plants|Some flowers are plants,valid
blood_relation,Pooja is Divya's son. Divya is Sneha's son. How is Pooja related to Sneha?,Pooja|son|Divya;Divya|son|Sneha,grandson
direction_sense,"Anjali walks 2km west, then 10km south. How far is Anjali from the starting point?",2km west;10km south,10.2
coding_decoding,"If MAP is coded as PDS, how is KEY coded?",MAP->PDS;KEY->?,NHB
syllogism,Statement 1: Some birds are fruits. Statement 2: All fruits are plants. Conclusion: Some birds are plants. Is the conclusion valid?,Some birds are fruits|All fruits are plants|Some birds are plants,valid
blood_relation,Rohit is Priya's son. Priya is Meera's daughter. How is Rohit related to Meera?,Rohit|son|Priya;Priya|daughter|Meera,grandson
direction_sense,"Rohit walks 8km east, then 8km north, then 4km west. How far is Rohit from the starting point?",8km east;8km north;4km west,8.94
coding_decoding,"If CAT is coded as GEX, how is RUN coded?",CAT->GEX;RUN->?,VYR
syllogism,Statement 1: Some vehicles are flowers. Statement 2: All flowers are dogs. Conclusion: Some vehicles are dogs. Is the conclusion valid?,Some vehicles are flowers|All flowers are dogs|Some vehicles are dogs,valid
blood_relation,Amit is Arjun's mother. Arjun is Nikhil's father. How is Amit related to Nikhil?,Amit|mother|Arjun;Arjun|father|Nikhil,grandmother
direction_sense,"Sneha walks 2km south, then 2km north, then 3km south. How far is Sneha from the starting point?",2km south;2km north;3km south,3.0
coding_decoding,"If BAT is coded as GFY, how is BAT coded?",BAT->GFY;BAT->?,GFY
syllogism,Statement 1: No animals are birds. Statement 2: Some birds are flowers. Conclusion: Some flowers are not animals. Is the conclusion valid?,No animals are birds|Some birds are flowers|Some flowers are not animals,valid
blood_relation,Suresh is Nikhil's mother. Nikhil is Manoj's father. How is Suresh related to Manoj?,Suresh|mother|Nikhil;Nikhil|father|Manoj,grandmother
direction_sense,"Sneha walks 9km west, then 8km west, then 3km north. How far is Sneha from the starting point?",9km west;8km west;3km north,17.26
coding_decoding,"If SUN is coded as TVO, how is JAM coded?",SUN->TVO;JAM->?,KBN
syllogism,Statement 1: Some fruits are cats. Statement 2: All cats are animals. Conclusion: Some fruits are animals. Is the conclusion valid?,Some fruits are cats|All cats are animals|Some fruits are animals,valid
blood_relation,Sneha is Divya's son. Divya is Suresh's daughter. How is Sneha related to Suresh?,Sneha|son|Divya;Divya|daughter|Suresh,grandson
direction_sense,"Rohit walks 4km south, then 4km north, then 3km west. How far is Rohit from the starting point?",4km south;4km north;3km west,3.0
coding_decoding,"If CAT is coded as FDW, how is LOG coded?",CAT->FDW;LOG->?,ORJ
syllogism,Statement 1: Some pets are dogs. Statement 2: Some dogs are cats. Conclusion: Some pets are cats. Is the conclusion valid?,Some pets are dogs|Some dogs are cats|Some pets are cats,invalid
blood_relation,Divya is Nikhil's daughter. Nikhil is Manoj's son. How is Divya related to Manoj?,Divya|daughter|Nikhil;Nikhil|son|Manoj,granddaughter
direction_sense,"Vikram walks 7km west, then 10km west, then 4km south. How far is Vikram from the starting point?",7km west;10km west;4km south,17.46
coding_decoding,"If FAN is coded as IDQ, how is RUN coded?",FAN->IDQ;RUN->?,UXQ
syllogism,Statement 1: No pets are plants. Statement 2: Some plants are cars. Conclusion: Some cars are not pets. Is the conclusion valid?,No pets are plants|Some plants are cars|Some cars are not pets,valid
blood_relation,Nikhil is Suresh's daughter. Suresh is Priya's daughter. How is Nikhil related to Priya?,Nikhil|daughter|Suresh;Suresh|daughter|Priya,granddaughter
direction_sense,"Meera walks 4km south, then 5km west, then 10km south. How far is Meera from the starting point?",4km south;5km west;10km south,14.87
coding_decoding,"If MAP is coded as PDS, how is KEY coded?",MAP->PDS;KEY->?,NHB
syllogism,Statement 1: No vehicles are plants. Statement 2: Some plants are flowers. Conclusion: Some flowers are not vehicles. Is the conclusion valid?,No vehicles are plants|Some plants are flowers|Some flowers are not vehicles,valid
blood_relation,Kavya is Arjun's son. Arjun is Sneha's son. How is Kavya related to Sneha?,Kavya|son|Arjun;Arjun|son|Sneha,grandson
direction_sense,"Anjali walks 8km south, then 2km north, then 5km west. How far is Anjali from the starting point?",8km south;2km north;5km west,7.81
coding_decoding,"If BAT is coded as EDW, how is BOX coded?",BAT->EDW;BOX->?,ERA
syllogism,Statement 1: No fruits are cats. Statement 2: Some cats are cars. Conclusion: Some cars are not fruits. Is the conclusion valid?,No fruits are cats|Some cats are cars|Some cars are not fruits,valid
blood_relation,Arjun is Kavya's son. Kavya is Priya's son. How is Arjun related to Priya?,Arjun|son|Kavya;Kavya|son|Priya,grandson
direction_sense,"Anjali walks 9km east, then 7km west. How far is Anjali from the starting point?",9km east;7km west,2.0
coding_decoding,"If FAN is coded as GBO, how is BOX coded?",FAN->GBO;BOX->?,CPY
syllogism,Statement 1: All cars are dogs. Statement 2: All dogs are foods. Conclusion: All cars are foods. Is the conclusion valid?,All cars are dogs|All dogs are foods|All cars are foods,valid
blood_relation,Vikram is Riya's mother. Riya is Suresh's mother. How is Vikram related to Suresh?,Vikram|mother|Riya;Riya|mother|Suresh,grandmother
direction_sense,"Rohit walks 8km west, then 4km east, then 4km north. How far is Rohit from the starting point?",8km west;4km east;4km north,5.66
coding_decoding,"If DOG is coded as HSK, how is RUN coded?",DOG->HSK;RUN->?,VYR
syllogism,Statement 1: Some dogs are cats. Statement 2: All cats are flowers. Conclusion: Some dogs are flowers. Is the conclusion valid?,Some dogs are cats|All cats are flowers|Some dogs are flowers,valid
blood_relation,Anjali is Manoj's father. Manoj is Rohit's mother. How is Anjali related to Rohit?,Anjali|father|Manoj;Manoj|mother|Rohit,grandfather
direction_sense,"Divya walks 10km south, then 5km west. How far is Divya from the starting point?",10km south;5km west,11.18
coding_decoding,"If SUN is coded as VXQ, how is BOX coded?",SUN->VXQ;BOX->?,ERA
syllogism,Statement 1: Some plants are fruits. Statement 2: Some fruits are animals. Conclusion: Some plants are animals. Is the conclusion valid?,Some plants are fruits|Some fruits are animals|Some plants are animals,invalid
blood_relation,Kavya is Priya's son. Priya is Riya's son. How is Kavya related to Riya?,Kavya|son|Priya;Priya|son|Riya,grandson
direction_sense,"Pooja walks 10km west, then 5km south, then 6km north. How far is Pooja from the starting point?",10km west;5km south;6km north,10.05
coding_decoding,"If DOG is coded as EPH, how is RUN coded?",DOG->EPH;RUN->?,SVO
syllogism,Statement 1: All animals are mammals. Statement 2: No mammals are vehicles. Conclusion: No animals are vehicles. Is the conclusion valid?,All animals are mammals|No mammals are vehicles|No animals are vehicles,valid
blood_relation,Manoj is Meera's son. Meera is Divya's son. How is Manoj related to Divya?,Manoj|son|Meera;Meera|son|Divya,grandson
direction_sense,"Anjali walks 7km south, then 6km south, then 7km west. How far is Anjali from the starting point?",7km south;6km south;7km west,14.76
coding_decoding,"If CUP is coded as FXS, how is TOP coded?",CUP->FXS;TOP->?,WRS
syllogism,Statement 1: Some cats are flowers. Statement 2: Some flowers are foods. Conclusion: Some cats are foods. Is the conclusion valid?,Some cats are flowers|Some flowers are foods|Some cats are foods,invalid
blood_relation,Divya is Riya's mother. Riya is Vikram's father. How is Divya related to Vikram?,Divya|mother|Riya;Riya|father|Vikram,grandmother
direction_sense,"Sneha walks 2km west, then 5km east, then 3km west. How far is Sneha from the starting point?",2km west;5km east;3km west,0.0
coding_decoding,"If PEN is coded as QFO, how is LOG coded?",PEN->QFO;LOG->?,MPH
syllogism,Statement 1: No animals are pets. Statement 2: Some pets are cars. Conclusion: Some cars are not animals. Is the conclusion valid?,No animals are pets|Some pets are cars|Some cars are not animals,valid
blood_relation,Karan is Suresh's mother. Suresh is Manoj's mother. How is Karan related to Manoj?,Karan|mother|Suresh;Suresh|mother|Manoj,grandmother
direction_sense,"Meera walks 10km north, then 3km south. How far is Meera from the starting point?",10km north;3km south,7.0
coding_decoding,"If CUP is coded as FXS, how is KEY coded?",CUP->FXS;KEY->?,NHB
syllogism,Statement 1: All cars are fruits. Statement 2: All fruits are animals. Conclusion: All cars are animals. Is the conclusion valid?,All cars are fruits|All fruits are animals|All cars are animals,valid
blood_relation,Manoj is Nikhil's daughter. Nikhil is Kavya's daughter. How is Manoj related to Kavya?,Manoj|daughter|Nikhil;Nikhil|daughter|Kavya,granddaughter
direction_sense,"Amit walks 3km east, then 8km west. How far is Amit from the starting point?",3km east;8km west,5.0
coding_decoding,"If BAT is coded as FEX, how is RUN coded?",BAT->FEX;RUN->?,VYR
syllogism,Statement 1: All flowers are dogs. Statement 2: All dogs are cars. Conclusion: All flowers are cars. Is the conclusion valid?,All flowers are dogs|All dogs are cars|All flowers are cars,valid
blood_relation,Karan is Meera's father. Meera is Manoj's mother. How is Karan related to Manoj?,Karan|father|Meera;Meera|mother|Manoj,grandfather
direction_sense,"Kavya walks 10km east, then 5km east. How far is Kavya from the starting point?",10km east;5km east,15.0
coding_decoding,"If CAT is coded as DBU, how is LOG coded?",CAT->DBU;LOG->?,MPH
syllogism,Statement 1: Some foods are vehicles. Statement 2: Some vehicles are mammals. Conclusion: Some foods are mammals. Is the conclusion valid?,Some foods are vehicles|Some vehicles are mammals|Some foods are mammals,invalid
blood_relation,Kavya is Vikram's daughter. Vikram is Manoj's daughter. How is Kavya related to Manoj?,Kavya|daughter|Vikram;Vikram|daughter|Manoj,granddaughter
direction_sense,"Amit walks 9km south, then 9km south. How far is Amit from the starting point?",9km south;9km south,18.0
coding_decoding,"If PEN is coded as RGP, how is BOX coded?",PEN->RGP;BOX->?,DQZ
syllogism,Statement 1: All fruits are pets. Statement 2: All pets are mammals. Conclusion: All fruits are mammals. Is the conclusion valid?,All fruits are pets|All pets are mammals|All fruits are mammals,valid
blood_relation,Divya is Arjun's son. Arjun is Pooja's daughter. How is Divya related to Pooja?,Divya|son|Arjun;Arjun|daughter|Pooja,grandson
direction_sense,"Suresh walks 3km north, then 7km north. How far is Suresh from the starting point?",3km north;7km north,10.0
coding_decoding,"If PEN is coded as SHQ, how is BOX coded?",PEN->SHQ;BOX->?,ERA
syllogism,Statement 1: No cats are birds. Statement 2: Some birds are plants. Conclusion: Some plants are not cats. Is the conclusion valid?,No cats are birds|Some birds are plants|Some plants are not cats,valid
blood_relation,Riya is Kavya's father. Kavya is Priya's father. How is Riya related to Priya?,Riya|father|Kavya;Kavya|father|Priya,grandfather
direction_sense,"Riya walks 4km south, then 2km north, then 6km west. How far is Riya from the starting point?",4km south;2km north;6km west,6.32
coding_decoding,"If BAT is coded as FEX, how is RUN coded?",BAT->FEX;RUN->?,VYR
syllogism,Statement 1: All fruits are plants. Statement 2: All plants are flowers. Conclusion: All fruits are flowers. Is the conclusion valid?,All fruits are plants|All plants are flowers|All fruits are flowers,valid
blood_relation,Rohit is Meera's daughter. Meera is Pooja's daughter. How is Rohit related to Pooja?,Rohit|daughter|Meera;Meera|daughter|Pooja,granddaughter
direction_sense,"Anjali walks 3km south, then 5km west, then 3km west. How far is Anjali from the starting point?",3km south;5km west;3km west,8.54
coding_decoding,"If FAN is coded as HCP, how is KEY coded?",FAN->HCP;KEY->?,MGA
syllogism,Statement 1: All dogs are flowers. Statement 2: No flowers are plants. Conclusion: No dogs are plants. Is the conclusion valid?,All dogs are flowers|No flowers are plants|No dogs are plants,valid
blood_relation,Rohit is Anjali's daughter. Anjali is Meera's daughter. How is Rohit related to Meera?,Rohit|daughter|Anjali;Anjali|daughter|Meera,granddaughter
direction_sense,"Meera walks 3km south, then 7km west. How far is Meera from the starting point?",3km south;7km west,7.62
coding_decoding,"If DOG is coded as HSK, how is LOG coded?",DOG->HSK;LOG->?,PSK
syllogism,Statement 1: Some dogs are fruits. Statement 2: Some fruits are flowers. Conclusion: Some dogs are flowers. Is the conclusion valid?,Some dogs are fruits|Some fruits are flowers|Some dogs are flowers,invalid
blood_relation,Meera is Riya's daughter. Riya is Priya's daughter. How is Meera related to Priya?,Meera|daughter|Riya;Riya|daughter|Priya,granddaughter
direction_sense,"Meera walks 4km south, then 7km east, then 9km south. How far is Meera from the starting point?",4km south;7km east;9km south,14.76
coding_decoding,"If CUP is coded as FXS, how is BAT coded?",CUP->FXS;BAT->?,EDW
syllogism,Statement 1: All cats are flowers. Statement 2: No flowers are fruits. Conclusion: No cats are fruits. Is the conclusion valid?,All cats are flowers|No flowers are fruits|No cats are fruits,valid
blood_relation,Priya is Manoj's father. Manoj is Nikhil's father. How is Priya related to Nikhil?,Priya|father|Manoj;Manoj|father|Nikhil,grandfather
direction_sense,"Rohit walks 8km east, then 8km north. How far is Rohit from the starting point?",8km east;8km north,11.31
coding_decoding,"If PEN is coded as UJS, how is KEY coded?",PEN->UJS;KEY->?,PJD
syllogism,Statement 1: Some pets are dogs. Statement 2: Some dogs are fruits. Conclusion: Some pets are fruits. Is the conclusion valid?,Some pets are dogs|Some dogs are fruits|Some pets are fruits,invalid
blood_relation,Divya is Riya's mother. Riya is Suresh's mother. How is Divya related to Suresh?,Divya|mother|Riya;Riya|mother|Suresh,grandmother
direction_sense,"Divya walks 8km north, then 7km north, then 9km north. How far is Divya from the starting point?",8km north;7km north;9km north,24.0
coding_decoding,"If DOG is coded as ITL, how is COW coded?",DOG->ITL;COW->?,HTB
syllogism,Statement 1: No mammals are plants. Statement 2: Some plants are cats. Conclusion: Some cats are not mammals. Is the conclusion valid?,No mammals are plants|Some plants are cats|Some cats are not mammals,valid
blood_relation,Amit is Priya's daughter. Priya is Arjun's daughter. How is Amit related to Arjun?,Amit|daughter|Priya;Priya|daughter|Arjun,granddaughter
direction_sense,"Divya walks 3km west, then 7km west, then 5km north. How far is Divya from the starting point?",3km west;7km west;5km north,11.18
coding_decoding,"If SUN is coded as VXQ, how is RUN coded?",SUN->VXQ;RUN->?,UXQ
syllogism,Statement 1: Some foods are mammals. Statement 2: Some mammals are birds. Conclusion: Some foods are birds. Is the conclusion valid?,Some foods are mammals|Some mammals are birds|Some foods are birds,invalid
blood_relation,Priya is Riya's mother. Riya is Nikhil's mother. How is Priya related to Nikhil?,Priya|mother|Riya;Riya|mother|Nikhil,grandmother
direction_sense,"Nikhil walks 4km south, then 8km west, then 5km east. How far is Nikhil from the starting point?",4km south;8km west;5km east,5.0
coding_decoding,"If FAN is coded as KFS, how is LOG coded?",FAN->KFS;LOG->?,QTL
syllogism,Statement 1: No plants are cars. Statement 2: Some cars are animals. Conclusion: Some animals are not plants. Is the conclusion valid?,No plants are cars|Some cars are animals|Some animals are not plants,valid
blood_relation,Sneha is Vikram's son. Vikram is Anjali's son. How is Sneha related to Anjali?,Sneha|son|Vikram;Vikram|son|Anjali,grandson
direction_sense,"Kavya walks 10km west, then 2km west. How far is Kavya from the starting point?",10km west;2km west,12.0
coding_decoding,"If SUN is coded as VXQ, how is RUN coded?",SUN->VXQ;RUN->?,UXQ
syllogism,Statement 1: No foods are animals. Statement 2: Some animals are mammals. Conclusion: Some mammals are not foods. Is the conclusion valid?,No foods are animals|Some animals are mammals|Some mammals are not foods,valid
blood_relation,Sneha is Riya's son. Riya is Amit's daughter. How is Sneha related to Amit?,Sneha|son|Riya;Riya|daughter|Amit,grandson
direction_sense,"Nikhil walks 7km east, then 10km north. How far is Nikhil from the starting point?",7km east;10km north,12.21
coding_decoding,"If DOG is coded as HSK, how is RUN coded?",DOG->HSK;RUN->?,VYR
syllogism,Statement 1: Some flowers are birds. Statement 2: All birds are fruits. Conclusion: Some flowers are fruits. Is the conclusion valid?,Some flowers are birds|All birds are fruits|Some flowers are fruits,valid
blood_relation,Karan is Divya's father. Divya is Anjali's father. How is Karan related to Anjali?,Karan|father|Divya;Divya|father|Anjali,grandfather
direction_sense,"Rohit walks 8km south, then 4km east, then 5km east. How far is Rohit from the starting point?",8km south;4km east;5km east,12.04
coding_decoding,"If DOG is coded as HSK, how is TOP coded?",DOG->HSK;TOP->?,XST
syllogism,Statement 1: Some pets are plants. Statement 2: Some plants are flowers. Conclusion: Some pets are flowers. Is the conclusion valid?,Some pets are plants|Some plants are flowers|Some pets are flowers,invalid
blood_relation,Meera is Nikhil's son. Nikhil is Anjali's son. How is Meera related to Anjali?,Meera|son|Nikhil;Nikhil|son|Anjali,grandson
direction_sense,"Manoj walks 6km north, then 2km west. How far is Manoj from the starting point?",6km north;2km west,6.32
coding_decoding,"If DOG is coded as FQI, how is JAM coded?",DOG->FQI;JAM->?,LCO
syllogism,Statement 1: Some mammals are cats. Statement 2: Some cats are cars. Conclusion: Some mammals are cars. Is the conclusion valid?,Some mammals are cats|Some cats are cars|Some mammals are cars,invalid
blood_relation,Vikram is Amit's daughter. Amit is Arjun's son. How is Vikram related to Arjun?,Vikram|daughter|Amit;Amit|son|Arjun,granddaughter
direction_sense,"Karan walks 10km east, then 5km west, then 7km east. How far is Karan from the starting point?",10km east;5km west;7km east,12.0
coding_decoding,"If PEN is coded as RGP, how is BOX coded?",PEN->RGP;BOX->?,DQZ
syllogism,Statement 1: All flowers are birds. Statement 2: No birds are cars. Conclusion: No flowers are cars. Is the conclusion valid?,All flowers are birds|No birds are cars|No flowers are cars,valid
blood_relation,Meera is Vikram's father. Vikram is Amit's father. How is Meera related to Amit?,Meera|father|Vikram;Vikram|father|Amit,grandfather
direction_sense,"Riya walks 7km west, then 9km south. How far is Riya from the starting point?",7km west;9km south,11.4
coding_decoding,"If SUN is coded as XZS, how is BAT coded?",SUN->XZS;BAT->?,GFY
syllogism,Statement 1: Some cars are animals. Statement 2: All animals are foods. Conclusion: Some cars are foods. Is the conclusion valid?,Some cars are animals|All animals are foods|Some cars are foods,valid
blood_relation,Meera is Divya's mother. Divya is Karan's mother. How is Meera related to Karan?,Meera|mother|Divya;Divya|mother|Karan,grandmother
direction_sense,"Meera walks 7km west, then 5km south. How far is Meera from the starting point?",7km west;5km south,8.6
